Borough,2011,2012,2013,2014,2015,2016
Barking and Dagenham,100.7,90.5,82.9,81.9,86.5,70.9
Barnet,73.5,69.7,61.6,61.9,65.8,55.8
Bexley,52.3,52.7,50.0,51.2,52.2,45.6
Brent,101.2,86.6,77.1,78.3,80.6,70.8
Bromley,70.5,64.5,61.2,63.6,65.1,52.7
Camden,162.7,146.0,124.7,121.0,125.2,103.1
Croydon,89.8,84.3,75.7,76.6,76.4,67.4
Ealing,96.0,88.1,75.6,75.8,78.8,69.0
Enfield,73.0,71.0,70.6,68.7,69.9,58.5
Greenwich,87.7,81.2,74.4,78.2,79.9,71.6
Hackney,112.9,110.3,101.1,97.7,101.1,91.2
Hammersmith and Fulham,128.4,121.1,106.2,113.6,114.3,98.1
Haringey,101.4,90.3,83.8,89.0,95.4,85.8
Harrow,58.9,55.5,50.3,50.1,53.3,45.5
Havering,72.7,68.7,62.5,62.4,67.7,58.1
Hillingdon,86.9,73.2,67.2,75.2,73.8,63.5
Hounslow,97.2,86.9,75.0,78.4,81.6,71.3
Islington,131.0,132.0,114.1,118.6,123.6,99.9
Kensington and Chelsea,131.2,133.6,115.5,120.6,124.7,109.8
Kingston upon Thames,70.0,62.2,55.7,57.5,58.5,49.6
Lambeth,121.5,112.5,104.8,103.8,107.9,90.8
Lewisham,98.1,87.8,78.0,75.7,83.1,68.4
Merton,70.6,66.1,57.1,59.8,63.2,53.5
Newham,103.1,101.0,91.0,89.4,90.4,77.1
Redbridge,86.2,78.8,69.5,68.7,66.2,56.7
Richmond upon Thames,64.1,62.4,55.0,55.7,55.1,49.9
Southwark,119.4,111.6,104.5,99.6,101.7,87.9
Sutton,61.4,57.8,53.1,55.4,54.7,45.0
Tower Hamlets,115.0,110.6,99.5,96.3,97.4,85.3
Waltham Forest,95.8,93.2,83.1,77.5,80.4,64.9
Wandsworth,79.3,82.5,71.6,72.3,74.1,65.8
Westminster,302.0,277.0,238.3,206.9,203.1,171.3